x,y,theta
0.600614,0.810126,0.0390695
0.599006,0.812158,0.0390695
0.608068,0.813064,0.0390695
0.609718,0.814594,0.0390695
0.61566,0.817481,0.0390695
0.632289,0.809753,0.0390695
0.621672,0.809586,0.0390695
0.634754,0.814848,0.0390695
0.633595,0.817648,0.0390695
0.636996,0.828726,0.0390695
0.627514,0.811068,0.0390695
0.622682,0.796341,0.0390695
0.615117,0.802241,0.0390695
0.631884,0.796474,0.0390695
0.63327,0.80012,0.0390695
0.640612,0.811258,0.0390695
0.638825,0.820179,0.0390695
0.645835,0.819046,0.0390695
0.644818,0.818635,0.0390695
0.635112,0.810322,0.0390695
0.61578,0.824594,0.0390695
0.622808,0.825659,0.0390695
0.614459,0.819822,0.0390695
0.620987,0.825057,0.0390695
0.631278,0.839469,0.0390695
0.633527,0.846688,0.0390695
0.627781,0.842823,0.0390695
0.637348,0.847177,0.0390695
0.648233,0.849074,0.0390695
0.638868,0.856678,0.0390695
0.657091,0.851185,0.0390695
0.642075,0.85738,0.0390695
0.629913,0.85092,0.0390695
0.628642,0.856113,0.0390695
0.61101,0.854002,0.0390695
0.603087,0.841325,0.0390695
0.601158,0.84385,0.0390695
0.620853,0.825789,0.0390695
0.626574,0.828871,0.0390695
0.62831,0.819977,0.0390695
0.625458,0.82781,0.0390695
0.619135,0.826683,0.0390695
0.616292,0.825952,0.0390695
0.608144,0.822486,0.0390695
0.613566,0.814536,0.0390695
0.60159,0.80923,0.0390695
0.594279,0.814487,0.0390695
0.583329,0.807925,0.0390695
0.596215,0.790765,0.0390695
0.599959,0.783423,0.0390695
0.585225,0.785965,0.0390695
0.578702,0.789551,0.0390695
0.569597,0.794439,0.0390695
0.570643,0.801689,0.0390695
0.573822,0.783868,0.0390695
0.578479,0.771634,0.0390695
0.583229,0.765046,0.0390695
0.573371,0.757315,0.0390695
0.560345,0.766364,0.0390695
0.554059,0.773183,0.0390695
0.558232,0.765606,0.0390695
0.548429,0.773641,0.0390695
0.551989,0.765244,0.0390695
0.551695,0.779698,0.0390695
0.55783,0.776944,0.0390695
0.568755,0.774172,0.0390695
0.562,0.767849,0.0390695
0.561214,0.768046,0.0390695
0.562452,0.778253,0.0390695
0.563881,0.772891,0.0390695
0.583485,0.775575,0.0390695
0.591564,0.782804,0.0390695
0.585008,0.767284,0.0390695
0.570898,0.786002,0.0390695
0.576593,0.776071,0.0390695
0.575192,0.777104,0.0390695
0.563295,0.782994,0.0390695
0.560526,0.789449,0.0390695
0.550685,0.790215,0.0390695
0.559904,0.774653,0.0390695
0.553616,0.766151,0.0390695
0.545043,0.772998,0.0390695
0.530489,0.772679,0.0390695
0.521066,0.779858,0.0390695
0.523268,0.781259,0.0390695
0.533424,0.763661,0.0390695
